pc11_district_id,pc11_state_id,pc11_subdistrict_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
335,19,02287,65873.33338992359,16176.640560787326,0.36339304249443616,0.2753596222511733,0.0136287389452789,0.0136287389452789,0.5215164746657027,0.5215164746657027
335,19,02277,63724.19334803551,15913.910903011913,0.37384277919046704,0.2841778390042313,0.0,0.0,1.0,1.0
335,19,02278,68700.41674238574,15932.54811501624,0.36452734433408884,0.2601582264873121,0.0,0.0,1.0,1.0
335,19,02279,67107.506617916,14970.464716277562,0.3991104461752494,0.28750362743789853,0.0,0.0,1.0,1.0
335,19,02280,65227.543589937544,15185.730852491037,0.4168404422082262,0.3237313383532863,0.0,0.0,1.0,1.0
335,19,02281,68077.67925543377,15436.337429645346,0.3755291801333744,0.2769108946401425,0.0,0.0,1.0,1.0
335,19,02282,66267.98790787779,15404.387976606047,0.39809256037941626,0.3068417252218279,0.0,0.0,1.0,1.0
335,19,02283,66395.43477358221,15819.944322340863,0.3727805375136991,0.3005673032862982,0.0,0.0,1.0,1.0
335,19,02284,68008.51703863003,16128.642792844124,0.34526154756221833,0.2741479931045345,0.0,0.0,1.0,1.0
335,19,02285,66622.20234726467,15313.979485790838,0.4096177814504478,0.3162299988380667,0.0,0.0,1.0,1.0
335,19,02288,68465.75312761165,16727.559606235976,0.3498349080332818,0.2733380566358994,0.0,0.0,1.0,1.0
335,19,02289,72182.5816173789,16656.97354187971,0.3298730626809087,0.24075813383033826,0.0,0.0,1.0,1.0
335,19,02290,76690.55397663562,18328.745983927354,0.2973544937642334,0.2221312788043202,0.0,0.0,1.0,1.0
335,19,02291,70263.4278338563,16173.879979652085,0.38192505305995034,0.3001696578640346,0.0,0.0,1.0,1.0
335,19,02292,68570.46432839184,16095.331848243648,0.4041231525321307,0.31674632832134825,0.0,0.0,1.0,1.0
335,19,02293,67793.55137961738,16189.540807708445,0.3725400420538832,0.29549359952593385,0.0,0.0,1.0,1.0
335,19,02294,72655.42052033977,17102.15859352641,0.3411143228616378,0.26508256698320865,0.0,0.0,1.0,1.0
335,19,02295,69874.43651020098,16534.032645280473,0.3673573268970228,0.28902593905980645,0.0,0.0,1.0,1.0
335,19,02296,73703.15988828895,16772.124066024662,0.302340440639039,0.21700230264542295,0.0220573792274717,0.0220573792274717,1.0,1.0
335,19,02297,75952.30571157641,17119.769060381575,0.2797499046114648,0.20048398181890753,0.0,0.0,1.0,1.0
335,19,02298,72670.3518436243,16398.5145500498,0.3142904007650625,0.22717121024478487,0.0,0.0,1.0,1.0
336,19,02299,65481.33388809958,17655.343885581922,0.28004948318207434,0.22170638352743197,0.0,0.0,1.0,1.0
336,19,02300,62829.91751795966,16576.845853677787,0.33851523299632336,0.2550440727352442,0.0,0.0,1.0,1.0
336,19,02301,70721.94733420762,16936.871140631592,0.3333416312538857,0.25214162882925273,0.0006057579751311,0.0006057579751311,1.0,1.0
336,19,02302,72187.36719669537,16937.852858013983,0.3333232543868454,0.25681782792048485,0.0,0.0,1.0,1.0
336,19,02303,67543.48560445815,15717.939660194592,0.3668088579326377,0.2797959287346085,0.0121490413034746,0.0121490413034746,1.0,1.0
336,19,02304,61422.754471368986,14312.11255515549,0.4526422288359682,0.37372904964559156,0.0150855643670622,0.0150855643670622,1.0,1.0
336,19,02305,64156.540186507365,14399.537383322568,0.426111733149009,0.3395528757299286,0.0,0.0,1.0,1.0
336,19,02306,63908.51784228766,15524.564794854843,0.40439506772357714,0.32165027482467795,0.0,0.0,1.0,1.0
336,19,02307,56534.735585337534,13309.44539790967,0.5010704753827818,0.4245807083943144,0.0,0.0,1.0,1.0
