ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-02-068,106915.00266181199,27089.097201526667,0.09544841780121478,0.05300702468061763,0.0008961947100928,0.0008961947100928,1.0,1.0,0.0
2008-03-002,117013.68989252578,23481.206732625178,0.18017158436140102,0.1198001027690764,0.0,0.0,1.0,1.0,0.0
2008-03-004,129633.03402317133,24782.505286691397,0.12718471625071287,0.08718529375988157,0.0,0.0,0.9942657934853698,0.4669884971115471,0.0107581290151447
2008-03-005,127132.52813594011,24936.072723024554,0.13292895588753798,0.0924957923953239,5.126036420488589e-05,5.126036420488589e-05,1.0,1.0,0.0
2008-03-008,132811.91597031025,25892.518916122135,0.10399793699147586,0.06885588834159548,0.0,0.0,0.9887085840688452,0.6203220979670521,0.0166496155942106
2008-03-009,127058.19234667048,24601.956610369944,0.137224075564655,0.09580668295646884,0.0,0.0,1.0,1.0,0.0
2008-03-010,130459.10683776217,25080.591647063888,0.12226726917976137,0.08301531568934163,0.0,0.0,1.0,1.0,0.0
2008-03-011,125896.45303855442,26034.611476633974,0.11834962095527984,0.07733616827536403,0.0,0.0,0.9914115449361032,0.6203220979670521,0.0138451541417649
2008-03-012,121600.71139456517,23983.680191646523,0.13963487166349053,0.09249161637414102,0.0,0.0,0.988405471530664,0.6203220979670521,0.0265287100796371
2008-03-013,124390.98355170047,24027.603211896694,0.13783769661998072,0.09639164192901682,0.0,0.0,0.9772058037650628,0.6203220979670521,0.0428007325675254
2008-03-021,118546.85688274648,21637.324838374196,0.2153443360872169,0.15887961941200984,1.1102230246251563e-16,1.1102230246251563e-16,0.9779605812148834,0.7166416951053585,0.0421917433934032
2008-03-022,120581.17667822883,22256.644043176224,0.17104738888505358,0.12198964730266282,0.0,0.0,0.9904852223095992,0.7166416951053585,0.0335786088709794
2008-03-023,123724.80196971816,22990.71136404235,0.1482894599641569,0.10057952652683505,0.0,0.0,0.959079029115681,0.7166416951053585,0.0632484700265812
2008-03-024,121102.5305332302,22332.918409929174,0.16878639973465956,0.119494394279028,0.0,0.0,0.9716616642267352,0.7166416951053585,0.0708271702648718
2008-03-025,127970.32628354018,25034.291042147997,0.13733662398676452,0.09437908003283695,3.39312778518952e-05,3.39312778518952e-05,1.0,1.0,0.0
2008-03-026,141504.3038135647,30159.11462508285,0.047943342082597186,0.030490820552978675,0.0,0.0,1.0,1.0,0.0
2008-03-027,136991.96804947415,28241.851175387284,0.07098543970953125,0.04606178168004192,1.1102230246251563e-16,1.1102230246251563e-16,0.9921460165140302,0.7409170283138093,0.0303145491764807
2008-03-028,141540.14493084446,27813.734333136807,0.07790435823238975,0.05454106578893325,0.0001043611359129,0.0001043611359129,1.0,1.0,0.0
2008-03-029,131457.63958995818,27776.633912732006,0.06066305194478035,0.038574237268189836,1.1102230246251563e-16,1.1102230246251563e-16,0.990009248053434,0.7497785581029143,0.0205222797233387
2008-03-030,128812.60965670238,27209.54791880368,0.08448807580974226,0.05217438229959829,0.0,0.0,0.9878789539914812,0.7497785581029143,0.0169145311302116
2008-03-031,132139.55413286248,27626.312964146124,0.0726954083409532,0.04544652182162434,0.0,0.0,1.0,1.0,0.0
2008-03-032,134381.37862990322,26802.387798559612,0.10178856925665729,0.0674248858847781,0.0,0.0,1.0,1.0,0.0
